Zeruhn report   \xFD\x13\x02\x00\x01\xFD
/huh    \xFD\x02\x02\x0D\x5B\xFD
/fume   \xFD\x02\x02\x0D\x5C\xFD
/doubt    \xFD\x02\x02\x0D\x5D\xFD
/?    \xFD\x02\x02\x0D\x5E\xFD
/sulk   \xFD\x02\x02\x0D\x60\xFD
/map    \xFD\x02\x02\x0D\x61\xFD
/panic    \xFD\x02\x02\x0D\x62\xFD
/help   \xFD\x02\x02\x0D\x63\xFD
/praise   \xFD\x02\x02\x0D\x64\xFD
/attackoff    \xFD\x02\x02\x0D\x65\xFD
/bank   \xFD\x02\x02\x0D\x66\xFD
/mailbox    \xFD\x02\x02\x0D\x67\xFD
/invite   \xFD\x02\x02\x0D\x68\xFD
/alliancecmd    \xFD\x02\x02\x0D\x69\xFD
/doze   \xFD\x02\x02\x0D\x6A\xFD
/weaponskill    \xFD\x02\x02\x0D\x6B\xFD
/shocked    \xFD\x02\x02\x0D\x6C\xFD
/grin   \xFD\x02\x02\x0D\x6D\xFD
/think    \xFD\x02\x02\x0D\x6E\xFD
/partycmd   \xFD\x02\x02\x0D\x6F\xFD
/decline    \xFD\x02\x02\x0D\x70\xFD
/blacklist    \xFD\x02\x02\x0D\x71\xFD
/throw    \xFD\x02\x02\x0D\x72\xFD
/range    \xFD\x02\x02\x0D\x73\xFD
/random   \xFD\x02\x02\x0D\x74\xFD
/ninjutsu   \xFD\x02\x02\x0D\x75\xFD
/join   \xFD\x02\x02\x0D\x76\xFD
/check    \xFD\x02\x02\x0D\x77\xFD
/layout   \xFD\x02\x02\x0D\x78\xFD
/equip    \xFD\x02\x02\x0D\x79\xFD
/sit    \xFD\x02\x02\x0D\x7A\xFD
/befriend   \xFD\x02\x02\x0D\x7B\xFD
/storage    \xFD\x02\x02\x0D\x7C\xFD
/hurray   \xFD\x02\x02\x0D\x7D\xFD
/toss   \xFD\x02\x02\x0D\x7E\xFD
/quarry   \xFD\x02\x02\x0D\x7F\xFD
/sprint   \xFD\x02\x02\x0D\x80\xFD
/scout    \xFD\x02\x02\x0D\x81\xFD
/recast   \xFD\x02\x02\x0D\x82\xFD
/mentor   \xFD\x02\x02\x0D\x83\xFD
/targetopp    \xFD\x02\x02\x0D\x84\xFD
/lsmes    \xFD\x02\x02\x0D\x85\xFD
/shutdown   \xFD\x02\x02\x0D\x86\xFD
/seacom   \xFD\x02\x02\x0D\x87\xFD
/seacomup   \xFD\x02\x02\x0D\x88\xFD
/blockaid   \xFD\x02\x02\x0D\x89\xFD
/locker   \xFD\x02\x02\x0D\x8A\xFD
/besiegemap   \xFD\x02\x02\x0D\x8B\xFD
/ignorepet    \xFD\x02\x02\x0D\x8C\xFD
/translate    \xFD\x02\x02\x0D\x8D\xFD
/macro    \xFD\x02\x02\x0D\x8E\xFD
/campaignmap    \xFD\x02\x02\x0D\x8F\xFD
/battlebgm    \xFD\x02\x02\x0D\x90\xFD
/bell   \xFD\x02\x02\x0D\x91\xFD
/bellsw   \xFD\x02\x02\x0D\x92\xFD
/satchel    \xFD\x02\x02\x0D\x93\xFD
This way    \xFD\x02\x02\x0E\x01\xFD
That way    \xFD\x02\x02\x0E\x02\xFD
Right   \xFD\x02\x02\x0E\x03\xFD
Side    \xFD\x02\x02\x0E\x04\xFD
Outside   \xFD\x02\x02\x0E\x05\xFD
South   \xFD\x02\x02\x0E\x06\xFD
Over there    \xFD\x02\x02\x0E\x07\xFD
Down    \xFD\x02\x02\x0E\x08\xFD
Flank   \xFD\x02\x02\x0E\x09\xFD
Left    \xFD\x02\x02\x0E\x0A\xFD
Up    \xFD\x02\x02\x0E\x0B\xFD
Front   \xFD\x02\x02\x0E\x0C\xFD
West    \xFD\x02\x02\x0E\x0D\xFD
North   \xFD\x02\x02\x0E\x0E\xFD
Rear    \xFD\x02\x02\x0E\x0F\xFD
Middle    \xFD\x02\x02\x0E\x10\xFD
East    \xFD\x02\x02\x0E\x11\xFD
Inside    \xFD\x02\x02\x0E\x12\xFD
Surface   \xFD\x02\x02\x0E\x13\xFD
Linkshell   \xFD\x02\x02\x0F\x01\xFD
Party   \xFD\x02\x02\x0F\x02\xFD
Alliance    \xFD\x02\x02\x0F\x03\xFD
Allegiance    \xFD\x02\x02\x0F\x04\xFD
Allied Forces of Altana   \xFD\x02\x02\x0F\x05\xFD
Royal Army of San d'Oria    \xFD\x02\x02\x0F\x06\xFD
Republican Army of Bastok   \xFD\x02\x02\x0F\x07\xFD
Federal Forces of Windurst    \xFD\x02\x02\x0F\x08\xFD
Orcish Hosts    \xFD\x02\x02\x0F\x09\xFD
Quadav Shieldwarriors   \xFD\x02\x02\x0F\x0A\xFD
Yagudo Theomilitary   \xFD\x02\x02\x0F\x0B\xFD
Dark Kindred    \xFD\x02\x02\x0F\x0C\xFD
Thief   \xFD\x02\x02\x10\x01\xFD
Paladin   \xFD\x02\x02\x10\x02\xFD
Dark Knight   \xFD\x02\x02\x10\x03\xFD
Beastmaster   \xFD\x02\x02\x10\x04\xFD
Warrior   \xFD\x02\x02\x10\x05\xFD
Monk    \xFD\x02\x02\x10\x06\xFD
White Mage    \xFD\x02\x02\x10\x07\xFD
Black Mage    \xFD\x02\x02\x10\x08\xFD
Samurai   \xFD\x02\x02\x10\x09\xFD
Red Mage    \xFD\x02\x02\x10\x0A\xFD
Ninja   \xFD\x02\x02\x10\x0B\xFD
Bard    \xFD\x02\x02\x10\x0C\xFD
Ranger    \xFD\x02\x02\x10\x0D\xFD
Summoner    \xFD\x02\x02\x10\x0E\xFD
Dragoon   \xFD\x02\x02\x10\x0F\xFD
Blue Mage   \xFD\x02\x02\x10\x10\xFD
Corsair   \xFD\x02\x02\x10\x11\xFD
Puppetmaster    \xFD\x02\x02\x10\x12\xFD
Dancer    \xFD\x02\x02\x10\x13\xFD
Scholar   \xFD\x02\x02\x10\x14\xFD
Friday    \xFD\x02\x02\x11\x01\xFD
Morning   \xFD\x02\x02\x11\x02\xFD
Day before yesterday    \xFD\x02\x02\x11\x03\xFD
Yesterday   \xFD\x02\x02\x11\x04\xFD
Today   \xFD\x02\x02\x11\x05\xFD
Tomorrow    \xFD\x02\x02\x11\x06\xFD
Day after tomorrow    \xFD\x02\x02\x11\x07\xFD
Holiday   \xFD\x02\x02\x11\x08\xFD
Saturday    \xFD\x02\x02\x11\x09\xFD
A.M   \xFD\x02\x02\x11\x0A\xFD
Thursday    \xFD\x02\x02\x11\x0B\xFD
Wednesday   \xFD\x02\x02\x11\x0C\xFD
Tuesday   \xFD\x02\x02\x11\x0D\xFD
Monday    \xFD\x02\x02\x11\x0E\xFD
Sunday    \xFD\x02\x02\x11\x0F\xFD
Day of the week   \xFD\x02\x02\x11\x10\xFD
May   \xFD\x02\x02\x11\x11\xFD
Long time   \xFD\x02\x02\x11\x12\xFD
December    \xFD\x02\x02\x11\x13\xFD
November    \xFD\x02\x02\x11\x14\xFD
October   \xFD\x02\x02\x11\x15\xFD
September   \xFD\x02\x02\x11\x16\xFD
August    \xFD\x02\x02\x11\x17\xFD
Afternoon   \xFD\x02\x02\x11\x18\xFD
June    \xFD\x02\x02\x11\x19\xFD
Night   \xFD\x02\x02\x11\x1A\xFD
April   \xFD\x02\x02\x11\x1B\xFD
March (Month)   \xFD\x02\x02\x11\x1C\xFD
February    \xFD\x02\x02\x11\x1D\xFD
January   \xFD\x02\x02\x11\x1E\xFD
P.M   \xFD\x02\x02\x11\x1F\xFD
Break   \xFD\x02\x02\x11\x20\xFD
July    \xFD\x02\x02\x11\x21\xFD
Short time    \xFD\x02\x02\x11\x5C\x22\xFD
Next week   \xFD\x02\x02\x11\x23\xFD
Last week   \xFD\x02\x02\x11\x24\xFD
Second    \xFD\x02\x02\x11\x25\xFD
Minute    \xFD\x02\x02\x11\x26\xFD
Hour    \xFD\x02\x02\x11\x27\xFD
Time remaining    \xFD\x02\x02\x11\x28\xFD
January   \xFD\x02\x02\x11\x29\xFD
April   \xFD\x02\x02\x11\x2A\xFD
March (Month)   \xFD\x02\x02\x11\x2B\xFD
February    \xFD\x02\x02\x11\x2C\xFD
May   \xFD\x02\x02\x11\x2D\xFD
July    \xFD\x02\x02\x11\x2E\xFD
June    \xFD\x02\x02\x11\x2F\xFD
December    \xFD\x02\x02\x11\x30\xFD
November    \xFD\x02\x02\x11\x31\xFD
October   \xFD\x02\x02\x11\x32\xFD
September   \xFD\x02\x02\x11\x33\xFD
August    \xFD\x02\x02\x11\x34\xFD
Can I have it?    \xFD\x02\x02\x12\x01\xFD
Lower the price?    \xFD\x02\x02\x12\x02\xFD
Buy?    \xFD\x02\x02\x12\x03\xFD
Sell?   \xFD\x02\x02\x12\x04\xFD
Trade?    \xFD\x02\x02\x12\x05\xFD
Do you need it?   \xFD\x02\x02\x12\x06\xFD
No money!   \xFD\x02\x02\x12\x07\xFD
I don't have anything to give you   \xFD\x02\x02\x12\x08\xFD
You can have this   \xFD\x02\x02\x12\x09\xFD
please    \xFD\x02\x02\x12\x0A\xFD
Reward:   \xFD\x02\x02\x12\x0B\xFD
Please let me join    \xFD\x02\x02\x13\x01\xFD
Taking a break    \xFD\x02\x02\x13\x02\xFD
Who is the leader?    \xFD\x02\x02\x13\x03\xFD
Please invite me    \xFD\x02\x02\x13\x04\xFD
Just for a short time is fine   \xFD\x02\x02\x13\x05\xFD
Disbanding party    \xFD\x02\x02\x13\x06\xFD
Gather together   \xFD\x02\x02\x13\x07\xFD
Any vacancies?    \xFD\x02\x02\x13\x08\xFD
Team up?    \xFD\x02\x02\x13\x09\xFD
Are you alone?    \xFD\x02\x02\x13\x0A\xFD
Turn your party flag on   \xFD\x02\x02\x13\x0B\xFD
Our party's full    \xFD\x02\x02\x13\x0C\xFD
Create an alliance?   \xFD\x02\x02\x13\x0D\xFD
Looking for members   \xFD\x02\x02\x13\x0E\xFD
Let's try to keep the levels of our party members close   \xFD\x02\x02\x13\x0F\xFD
Please assist   \xFD\x02\x02\x13\x10\xFD
Jugner Forest   \xFD\x02\x02\x14\x01\xFD
Batallia Downs    \xFD\x02\x02\x14\x02\xFD
Ordelle's Caves   \xFD\x02\x02\x14\x03\xFD
Altar Room    \xFD\x02\x02\x14\x04\xFD
Windurst Residential Area   \xFD\x02\x02\x14\x05\xFD
Port Jeuno    \xFD\x02\x02\x14\x06\xFD
Rolanberry Fields   \xFD\x02\x02\x14\x07\xFD
Qufim Island    \xFD\x02\x02\x14\x08\xFD
Norg    \xFD\x02\x02\x14\x09\xFD
Behemoth's Dominion   \xFD\x02\x02\x14\x0A\xFD
Upper Delkfutt's Tower    \xFD\x02\x02\x14\x0B\xFD
Middle Delkfutt's Tower   \xFD\x02\x02\x14\x0C\xFD
Lower Delkfutt's Tower    \xFD\x02\x02\x14\x0D\xFD
Lower Jeuno   \xFD\x02\x02\x14\x0E\xFD
East Ronfaure   \xFD\x02\x02\x14\x0F\xFD
Bastok Residential Area   \xFD\x02\x02\x14\x10\xFD
West Ronfaure   \xFD\x02\x02\x14\x11\xFD
San d'Oria    \xFD\x02\x02\x14\x12\xFD
Ru'Lude Gardens   \xFD\x02\x02\x14\x13\xFD
Garlaige Citadel    \xFD\x02\x02\x14\x14\xFD
Maze of Shakhrami   \xFD\x02\x02\x14\x15\xFD
Buburimu Peninsula    \xFD\x02\x02\x14\x16\xFD
Tahrongi Canyon   \xFD\x02\x02\x14\x17\xFD
West Sarutabaruta   \xFD\x02\x02\x14\x18\xFD
Balga's Dais    \xFD\x02\x02\x14\x19\xFD
Waughroon Shrine    \xFD\x02\x02\x14\x1A\xFD
Outer Horutoto Ruins    \xFD\x02\x02\x14\x1B\xFD
Inner Horutoto Ruins    \xFD\x02\x02\x14\x1C\xFD
Toraimarai Canal    \xFD\x02\x02\x14\x1D\xFD
Mhaura    \xFD\x02\x02\x14\x1E\xFD
Fort Ghelsba    \xFD\x02\x02\x14\x1F\xFD
Meriphataud Mountains   \xFD\x02\x02\x14\x20\xFD
Giddeus   \xFD\x02\x02\x14\x21\xFD
Chateau d'Oraguille   \xFD\x02\x02\x14\x22\xFD
Castle Oztroja    \xFD\x02\x02\x14\x23\xFD
Beaucedine Glacier    \xFD\x02\x02\x14\x24\xFD
Castle Zvahl Baileys    \xFD\x02\x02\x14\x25\xFD
Castle Zvahl Baileys    \xFD\x02\x02\x14\x26\xFD
East Sarutabaruta   \xFD\x02\x02\x14\x27\xFD
Qulun Dome    \xFD\x02\x02\x14\x28\xFD
Kazham    \xFD\x02\x02\x14\x29\xFD
Beadeaux    \xFD\x02\x02\x14\x2A\xFD
Pashhow Marshlands    \xFD\x02\x02\x14\x2B\xFD
Crawlers' Nest    \xFD\x02\x02\x14\x2C\xFD
Ranguemont Pass   \xFD\x02\x02\x14\x2D\xFD
Sauromugue Champaign    \xFD\x02\x02\x14\x2E\xFD
Metalworks    \xFD\x02\x02\x14\x2F\xFD
Northern San d'Oria   \xFD\x02\x02\x14\x30\xFD
Rabao   \xFD\x02\x02\x14\x31\xFD
Bostaunieux Oubliette   \xFD\x02\x02\x14\x32\xFD
Labyrinth of Onzozo   \xFD\x02\x02\x14\x33\xFD
Gustav Tunnel   \xFD\x02\x02\x14\x34\xFD
Den of Rancor   \xFD\x02\x02\x14\x35\xFD
Temple of Uggalepih   \xFD\x02\x02\x14\x36\xFD
Dragon's Aery   \xFD\x02\x02\x14\x37\xFD
Windurst Woods    \xFD\x02\x02\x14\x38\xFD
Sacrificial Chamber   \xFD\x02\x02\x14\x39\xFD
Windurst Waters   \xFD\x02\x02\x14\x3A\xFD
Chamber of Oracles    \xFD\x02\x02\x14\x3B\xFD
Port Bastok   \xFD\x02\x02\x14\x3C\xFD
Cape Teriggan   \xFD\x02\x02\x14\x3D\xFD
Eastern Altepa Desert   \xFD\x02\x02\x14\x3E\xFD
The Sanctuary of Zi'Tah   \xFD\x02\x02\x14\x3F\xFD
Yuhtunga Jungle   \xFD\x02\x02\x14\x40\xFD
Yhoator Jungle    \xFD\x02\x02\x14\x41\xFD
Western Altepa Desert   \xFD\x02\x02\x14\x42\xFD
Valley of Sorrows   \xFD\x02\x02\x14\x43\xFD
The Boyahda Tree    \xFD\x02\x02\x14\x44\xFD
Port Windurst   \xFD\x02\x02\x14\x45\xFD
Bastok Mines    \xFD\x02\x02\x14\x46\xFD
Jeuno   \xFD\x02\x02\x14\x47\xFD
Windurst    \xFD\x02\x02\x14\x48\xFD
Jeuno Residential Area    \xFD\x02\x02\x14\x49\xFD
Fei'Yin   \xFD\x02\x02\x14\x4A\xFD
San d'Oria Residential Area   \xFD\x02\x02\x14\x4B\xFD
Southern San d'Oria   \xFD\x02\x02\x14\x4C\xFD
Xarcabard   \xFD\x02\x02\x14\x4D\xFD
Upper Jeuno   \xFD\x02\x02\x14\x4E\xFD
Castle Zvahl Keep   \xFD\x02\x02\x14\x4F\xFD
Castle Zvahl Keep   \xFD\x02\x02\x14\x50\xFD
La Theine Plateau   \xFD\x02\x02\x14\x51\xFD
Port San d'Oria   \xFD\x02\x02\x14\x52\xFD
Bastok    \xFD\x02\x02\x14\x53\xFD
Windurst Walls    \xFD\x02\x02\x14\x54\xFD
Heavens Tower   \xFD\x02\x02\x14\x55\xFD
Bastok Markets    \xFD\x02\x02\x14\x56\xFD
Quicksand Caves   \xFD\x02\x02\x14\x57\xFD
Ifrit's Cauldron    \xFD\x02\x02\x14\x58\xFD
Sea Serpent Grotto    \xFD\x02\x02\x14\x59\xFD
Kuftal Tunnel   \xFD\x02\x02\x14\x5A\xFD
Korroloka Tunnel    \xFD\x02\x02\x14\x5B\xFD
Full Moon Fountain    \xFD\x02\x02\x14\x5C\xFD
Throne Room   \xFD\x02\x02\x14\x5D\xFD
Yughott Grotto    \xFD\x02\x02\x14\x5E\xFD
Selbina   \xFD\x02\x02\x14\x5F\xFD
Valkurm Dunes   \xFD\x02\x02\x14\x60\xFD
Zeruhn Mines    \xFD\x02\x02\x14\x61\xFD
Dangruf Wadi    \xFD\x02\x02\x14\x62\xFD
South Gustaberg   \xFD\x02\x02\x14\x63\xFD
North Gustaberg   \xFD\x02\x02\x14\x64\xFD
Horlais Peak    \xFD\x02\x02\x14\x65\xFD
Palborough Mines    \xFD\x02\x02\x14\x66\xFD
Gusgen Mines    \xFD\x02\x02\x14\x67\xFD
Davoi   \xFD\x02\x02\x14\x68\xFD
Konschtat Highlands   \xFD\x02\x02\x14\x69\xFD
The Eldieme Necropolis    \xFD\x02\x02\x14\x6A\xFD
Qu'Bia Arena    \xFD\x02\x02\x14\x6B\xFD
Ghelsba Outpost   \xFD\x02\x02\x14\x6C\xFD
Monastic Cavern   \xFD\x02\x02\x14\x6D\xFD
King Ranperre's Tomb    \xFD\x02\x02\x14\x6E\xFD
Ru'Aun Gardens    \xFD\x02\x02\x14\x6F\xFD
Ve'Lugannon Palace    \xFD\x02\x02\x14\x70\xFD
Ve'Lugannon Palace    \xFD\x02\x02\x14\x71\xFD
The Shrine of Ru'Avitau   \xFD\x02\x02\x14\x72\xFD
La'Loff Amphitheater    \xFD\x02\x02\x14\x73\xFD
The Celestial Nexus   \xFD\x02\x02\x14\x74\xFD
Cloister of Storms    \xFD\x02\x02\x14\x75\xFD
Cloister of Tremors   \xFD\x02\x02\x14\x76\xFD
Cloister of Gales   \xFD\x02\x02\x14\x77\xFD
Cloister of Flames    \xFD\x02\x02\x14\x78\xFD
Cloister of Tides   \xFD\x02\x02\x14\x79\xFD
Cloister of Frost   \xFD\x02\x02\x14\x7A\xFD
Hall of the Gods    \xFD\x02\x02\x14\x7B\xFD
Ro'Maeve    \xFD\x02\x02\x14\x7C\xFD
Ro'Maeve    \xFD\x02\x02\x14\x7D\xFD
Dynamis - San d'Oria    \xFD\x02\x02\x14\x7E\xFD
Dynamis - Bastok    \xFD\x02\x02\x14\x7F\xFD
Dynamis - Windurst    \xFD\x02\x02\x14\x80\xFD
Dynamis - Jeuno   \xFD\x02\x02\x14\x81\xFD
Dynamis - Beaucedine    \xFD\x02\x02\x14\x82\xFD
Dynamis - Xarcabard   \xFD\x02\x02\x14\x83\xFD
Manaclipper   \xFD\x02\x02\x14\x84\xFD
Bibiki Bay    \xFD\x02\x02\x14\x85\xFD
Attohwa Chasm   \xFD\x02\x02\x14\x86\xFD
Boneyard Gully    \xFD\x02\x02\x14\x87\xFD
Pso'Xja   \xFD\x02\x02\x14\x88\xFD
The Shrouded Maw    \xFD\x02\x02\x14\x89\xFD
Uleguerand Range    \xFD\x02\x02\x14\x8A\xFD
Bearclaw Pinnacle   \xFD\x02\x02\x14\x8B\xFD
Oldton Movalpolos   \xFD\x02\x02\x14\x8C\xFD
Newton Movalpolos   \xFD\x02\x02\x14\x8D\xFD
Mine Shaft #2716    \xFD\x02\x02\x14\x8E\xFD
Tavnazian Safehold    \xFD\x02\x02\x14\x8F\xFD
Lufaise Meadows   \xFD\x02\x02\x14\x90\xFD
Misareaux Coast   \xFD\x02\x02\x14\x91\xFD
Sealion's Den   \xFD\x02\x02\x14\x92\xFD
Phomiuna Aqueducts    \xFD\x02\x02\x14\x93\xFD
Sacrarium   \xFD\x02\x02\x14\x94\xFD
Riverne - Site #B01   \xFD\x02\x02\x14\x95\xFD
Riverne - Site #B01   \xFD\x02\x02\x14\x96\xFD
Riverne - Site #A01   \xFD\x02\x02\x14\x97\xFD
Riverne - Site #A01   \xFD\x02\x02\x14\x98\xFD
Monarch Linn    \xFD\x02\x02\x14\x99\xFD
Promyvion - Holla   \xFD\x02\x02\x14\x9A\xFD
Promyvion - Holla   \xFD\x02\x02\x14\x9B\xFD
Spire of Holla    \xFD\x02\x02\x14\x9C\xFD
Promyvion - Dem   \xFD\x02\x02\x14\x9D\xFD
Promyvion - Dem   \xFD\x02\x02\x14\x9E\xFD
Spire of Dem    \xFD\x02\x02\x14\x9F\xFD
Promyvion - Mea   \xFD\x02\x02\x14\xA0\xFD
Promyvion - Mea   \xFD\x02\x02\x14\xA1\xFD
Spire of Mea    \xFD\x02\x02\x14\xA2\xFD
Promyvion - Vahzl   \xFD\x02\x02\x14\xA3\xFD
Promyvion - Vahzl   \xFD\x02\x02\x14\xA4\xFD
Promyvion - Vahzl   \xFD\x02\x02\x14\xA5\xFD
Promyvion - Vahzl   \xFD\x02\x02\x14\xA6\xFD
Spire of Vahzl    \xFD\x02\x02\x14\xA7\xFD
Spire of Vahzl    \xFD\x02\x02\x14\xA8\xFD
Phanauet Channel    \xFD\x02\x02\x14\xA9\xFD
Carpenters' Landing   \xFD\x02\x02\x14\xAA\xFD
Hall of Transference    \xFD\x02\x02\x14\xAB\xFD
Al'Taieu    \xFD\x02\x02\x14\xAC\xFD
Grand Palace of Hu'Xzoi   \xFD\x02\x02\x14\xAD\xFD
The Garden of Ru'Hmet   \xFD\x02\x02\x14\xAE\xFD
Diorama Abdhaljs-Ghelsba    \xFD\x02\x02\x14\xAF\xFD
Empyreal Paradox    \xFD\x02\x02\x14\xB0\xFD
Temenos   \xFD\x02\x02\x14\xB1\xFD
Apollyon    \xFD\x02\x02\x14\xB2\xFD
Stellar Fulcrum   \xFD\x02\x02\x14\xB3\xFD
Dynamis - Valkurm   \xFD\x02\x02\x14\xB4\xFD
Dynamis - Buburimu    \xFD\x02\x02\x14\xB5\xFD
Dynamis - Qufim   \xFD\x02\x02\x14\xB6\xFD
Dynamis - Tavnazia    \xFD\x02\x02\x14\xB7\xFD
Abdhaljs Isle-Purgonorgo    \xFD\x02\x02\x14\xB8\xFD
Open sea route to Al Zahbi    \xFD\x02\x02\x14\xB9\xFD
Open sea route to Mhaura    \xFD\x02\x02\x14\xBA\xFD
Al Zahbi    \xFD\x02\x02\x14\xBB\xFD
Aht Urhgan Whitegate    \xFD\x02\x02\x14\xBC\xFD
Wajaom Woodlands    \xFD\x02\x02\x14\xBD\xFD
Bhaflau Thickets    \xFD\x02\x02\x14\xBE\xFD
Nashmau   \xFD\x02\x02\x14\xBF\xFD
Arrapago Reef   \xFD\x02\x02\x14\xC0\xFD
Ilrusi Atoll    \xFD\x02\x02\x14\xC1\xFD
Periqia   \xFD\x02\x02\x14\xC2\xFD
Talacca Cove    \xFD\x02\x02\x14\xC3\xFD
Silver Sea route to Nashmau   \xFD\x02\x02\x14\xC4\xFD
Silver Sea route to Al Zahbi    \xFD\x02\x02\x14\xC5\xFD
The Ashu Talif    \xFD\x02\x02\x14\xC6\xFD
Mount Zhayolm   \xFD\x02\x02\x14\xC7\xFD
Halvung   \xFD\x02\x02\x14\xC8\xFD
Lebros Cavern   \xFD\x02\x02\x14\xC9\xFD
Navukgo Execution Chamber   \xFD\x02\x02\x14\xCA\xFD
Mamook    \xFD\x02\x02\x14\xCB\xFD
Mamool Ja Training Grounds    \xFD\x02\x02\x14\xCC\xFD
Jade Sepulcher    \xFD\x02\x02\x14\xCD\xFD
Aydeewa Subterrane    \xFD\x02\x02\x14\xCE\xFD
Leujaoam Sanctum    \xFD\x02\x02\x14\xCF\xFD
Caedarva Mire   \xFD\x02\x02\x14\xD0\xFD
Mamool Ja staging point   \xFD\x02\x02\x14\xD1\xFD
Halvung staging point   \xFD\x02\x02\x14\xD2\xFD
Azouph Isle staging point   \xFD\x02\x02\x14\xD3\xFD
Dvucca Isle staging point   \xFD\x02\x02\x14\xD4\xFD
Ilrusi Atoll staging point    \xFD\x02\x02\x14\xD5\xFD
Chamber of Passage    \xFD\x02\x02\x14\xD6\xFD
Commissions Agency    \xFD\x02\x02\x14\xD7\xFD
Hall of Binding   \xFD\x02\x02\x14\xD8\xFD
Walahra Temple    \xFD\x02\x02\x14\xD9\xFD
Hazhalm Testing Grounds   \xFD\x02\x02\x14\xDA\xFD
Aht Urhgan    \xFD\x02\x02\x14\xDB\xFD
Mine Shaft #2716    \xFD\x02\x02\x14\xDC\xFD
Alzadaal Undersea Ruins   \xFD\x02\x02\x14\xDD\xFD
Zhayolm Remnants    \xFD\x02\x02\x14\xDE\xFD
Arrapago Remnants   \xFD\x02\x02\x14\xDF\xFD
Bhaflau Remnants    \xFD\x02\x02\x14\xE0\xFD
Silver Sea Remnants   \xFD\x02\x02\x14\xE1\xFD
Nyzul Isle    \xFD\x02\x02\x14\xE2\xFD
Casting spell   \xFD\x02\x02\x15\x01\xFD
Time for work!    \xFD\x02\x02\x15\x02\xFD
I have plans    \xFD\x02\x02\x15\x03\xFD
I'm sleepy    \xFD\x02\x02\x15\x04\xFD
I'm tired   \xFD\x02\x02\x15\x05\xFD
Have stuff to do, gotta go!   \xFD\x02\x02\x15\x06\xFD
I don't feel well   \xFD\x02\x02\x15\x07\xFD
I'm not up for it   \xFD\x02\x02\x15\x08\xFD
I'm interested    \xFD\x02\x02\x15\x09\xFD
Fighting right now!   \xFD\x02\x02\x15\x0A\xFD
I want to make money    \xFD\x02\x02\x15\x0B\xFD
I don't remember    \xFD\x02\x02\x15\x0C\xFD
I don't know    \xFD\x02\x02\x15\x0D\xFD
Just used it    \xFD\x02\x02\x15\x0E\xFD
I want experience points    \xFD\x02\x02\x15\x0F\xFD
Can you hear me?    \xFD\x02\x02\x16\x01\xFD
I can speak a little    \xFD\x02\x02\x16\x02\xFD
Japanese    \xFD\x02\x02\x16\x03\xFD
English   \xFD\x02\x02\x16\x04\xFD
I can understand a little   \xFD\x02\x02\x16\x05\xFD
Please use simple words   \xFD\x02\x02\x16\x06\xFD
Can you speak Japanese?   \xFD\x02\x02\x16\x07\xFD
Please listen   \xFD\x02\x02\x16\x08\xFD
Can you speak English?    \xFD\x02\x02\x16\x09\xFD
Please do not abbreviate your words   \xFD\x02\x02\x16\x0A\xFD
I need some time to put together my answer    \xFD\x02\x02\x16\x0B\xFD
I don't speak any English   \xFD\x02\x02\x16\x0C\xFD
I don't speak any Japanese    \xFD\x02\x02\x16\x0D\xFD
Please use the auto-translate function    \xFD\x02\x02\x16\x0E\xFD
French    \xFD\x02\x02\x16\x0F\xFD
German    \xFD\x02\x02\x16\x10\xFD
Can you speak French?   \xFD\x02\x02\x16\x11\xFD
Can you speak German?   \xFD\x02\x02\x16\x12\xFD
I don't speak any French    \xFD\x02\x02\x16\x13\xFD
I don't speak any German    \xFD\x02\x02\x16\x14\xFD
Online    \xFD\x02\x02\x17\x01\xFD
Away    \xFD\x02\x02\x17\x02\xFD
Invisible (Online Status)   \xFD\x02\x02\x17\x03\xFD
Alchemy   \xFD\x02\x02\x18\x01\xFD
Polearm   \xFD\x02\x02\x18\x02\xFD
Hand-to-Hand    \xFD\x02\x02\x18\x03\xFD
Fishing   \xFD\x02\x02\x18\x04\xFD
Katana    \xFD\x02\x02\x18\x05\xFD
Great Katana    \xFD\x02\x02\x18\x06\xFD
Ninjutsu    \xFD\x02\x02\x18\x07\xFD
Wind Instrument   \xFD\x02\x02\x18\x08\xFD
Stringed Instrument   \xFD\x02\x02\x18\x09\xFD
Singing   \xFD\x02\x02\x18\x0A\xFD
Elemental Magic   \xFD\x02\x02\x18\x0B\xFD
Enfeebling Magic    \xFD\x02\x02\x18\x0C\xFD
Enhancing Magic   \xFD\x02\x02\x18\x0D\xFD
Leathercraft    \xFD\x02\x02\x18\x0E\xFD
Healing Magic   \xFD\x02\x02\x18\x0F\xFD
Scythe    \xFD\x02\x02\x18\x10\xFD
Dark Magic    \xFD\x02\x02\x18\x11\xFD
Divine Magic    \xFD\x02\x02\x18\x12\xFD
Fisherman   \xFD\x02\x02\x18\x13\xFD
Dagger    \xFD\x02\x02\x18\x14\xFD
Guard   \xFD\x02\x02\x18\x15\xFD
Parrying    \xFD\x02\x02\x18\x16\xFD
Shield    \xFD\x02\x02\x18\x17\xFD
Marksmanship    \xFD\x02\x02\x18\x18\xFD
Throwing    \xFD\x02\x02\x18\x19\xFD
Archery   \xFD\x02\x02\x18\x1A\xFD
Cooking   \xFD\x02\x02\x18\x1B\xFD
Smithing    \xFD\x02\x02\x18\x1C\xFD
